Keys,Values
Tên TCPH:,"
CTCP Nhiên liệu Sài Gòn
"
Tên chứng khoán:,Cổ phiếu CTCP Nhiên liệu Sài Gòn
Mã chứng khoán:,SFC
Mã ISIN:,VN000000SFC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 187/2007/GCNCP-CNVSD-5 cấp lần đầu ngày 29/08/2000, cấp thay đổi lần 5 ngày 02/07/2013"
Tổng số chứng khoán đăng ký:,11.291.459 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,112.914.590.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
