Keys,Values
Tên TCPH:,"
Công ty cổ phần Vắc Xin và Sinh phẩm Nha Trang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vắc Xin và Sinh phẩm Nha Trang
Mã chứng khoán:,BIO
Mã ISIN:,VN000000BIO6
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 230/2017/GCNCP-VSD do VSD cấp ngày 20/12/2017
Tổng số chứng khoán đăng ký:,8.562.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,85.620.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
