Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Pinetree
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Pinetree
Mã chứng khoán:,HFT
Mã ISIN:,VN000000HFT8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 213/2017/GCNCP-VSD do VSD cấp ngày 14/11/2017, Số: 213/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 17/01/2022"
Tổng số chứng khoán đăng ký:,97.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,970.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
