Keys,Values
Tên TCPH:,"
CTCP Du lịch và Thương mại DIC
"
Tên chứng khoán:,Cổ phiếu CTCP Du lịch và Thương mại DIC
Mã chứng khoán:,DCD
Mã ISIN:,VN000000DCD8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 96/2010/GCNCP-VSD-1 do TTLKCK Việt Nam cấp lần đầu ngày 15/04/2010, thay đổi lần 1 ngày 07/5/2012"
Tổng số chứng khoán đăng ký:,11.294.323 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,112.943.230.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
