Keys,Values
Tên TCPH:,"
Công ty cổ phần Thiết bị Bưu điện
"
Tên chứng khoán:,Cổ phiếu CTCP Thiết bị Bưu điện
Mã chứng khoán:,POT
Mã ISIN:,VN000000POT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 38/2006/GCNCP-TTLK do TTLKCK Việt Nam cấp lần đầu ngày 14/12/2006, số 38/2006/GCNCP - TTLK - 2 cấp thay đổi lần 2 ngày 24/07/2008"
Tổng số chứng khoán đăng ký:,19.430.006 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,194.300.060.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
