Keys,Values
Tên TCPH:,"
Công ty cổ phần Gạch ngói Gốm Xây dựng Mỹ Xuân
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Gạch ngói Gốm Xây dựng Mỹ Xuân
Mã chứng khoán:,GMX
Mã ISIN:,VN000000GMX8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"44/2011/GCNCP-VSD do Trung tâm Lưu ký Chứng khoán Việt Nam cấp lần đầu ngày 27/06/2011, 44/2011/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 26/08/2021"
Tổng số chứng khoán đăng ký:,9.040.697 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,90.406.970.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
