Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư Năm Bảy Bảy
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư Năm Bảy Bảy
Mã chứng khoán:,NBB
Mã ISIN:,VN000000NBB3
Loại chứng khoán:,Cổ phiếu phổ thông và Cổ phiếu ưu đãi
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 110/2008/GCNCP-VSD do VSD cấp lần đầu ngày 10/11/2008, Số 110/2008/GCNCP-VSD-8 cấp thay đổi lần 8 ngày 09/04/2019"
Tổng số chứng khoán đăng ký:,100.475.656 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.004.756.560.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
