Keys,Values
Tên TCPH:,"
Công ty cổ phần Ngân Sơn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Ngân Sơn
Mã chứng khoán:,NST
Mã ISIN:,VN000000NST9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 77/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 26/12/2006, Số 77/2006/GCNCP-VSD-6 thay đổi lần thứ 6 ngày 04/10/2016"
Tổng số chứng khoán đăng ký:,11.202.003 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,112.019.580.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
