Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí Xây dựng AMECC
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ khí Xây dựng AMECC
Mã chứng khoán:,AMS
Mã ISIN:,VN000000AMS1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 13/2017/GCNCP-VSD do VSD cấp lần đầu ngày 12/01/2017, Số: 13/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 27/1/2021"
Tổng số chứng khoán đăng ký:,36.629.865 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,366.298.650.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
