Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng số 3 Hải Phòng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng số 3 Hải Phòng
Mã chứng khoán:,HC3
Mã ISIN:,VN000000HC37
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 120/2017/GCNCP-VSD do VSD cấp ngày 13/06/2017, số 120/2017/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 30/06/2020"
Tổng số chứng khoán đăng ký:,20.685.717 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,206.857.170.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
