Keys,Values
Tên TCPH:,"
Công ty cổ phần Sông Đà 207
"
Tên chứng khoán:,Cổ phiếu CTCP Sông Đà 207
Mã chứng khoán:,SDB
Mã ISIN:,VN000000SDB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 32/2010/GCNCP-VSD do VSD cấp lần đầu ngày 02/02/2010, Số 32/2010/GCNCP-VSD-1 cấp thay đổi lần thứ 1 ngày 24/05/2011"
Tổng số chứng khoán đăng ký:,11.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,110.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
