Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường đô thị tỉnh Lào Cai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường đô thị tỉnh Lào Cai
Mã chứng khoán:,MLC
Mã ISIN:,VN000000MLC2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 189/2016/GCNCP-VSD do VSD cấp lần đầu ngày 12/12/2016
Tổng số chứng khoán đăng ký:,4.171.175 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,41.711.750.000 đồng
Hình thức đăng ký:,Ghi sổ 
Nơi quản lý tại VSD:,Trụ sở chính
