Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Bản Việt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Bản Việt
Mã chứng khoán:,VCI
Mã ISIN:,VN000000VCI9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 129/2017/GCNCP-VSD do VSD cấp ngày 23/06/2017, Số:  129/2017/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 05/07/2021"
Tổng số chứng khoán đăng ký:,333.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.330.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
