Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Xây dựng HUD Kiên Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng HUD Kiên Giang
Mã chứng khoán:,HKG
Mã ISIN:,VN000000HKG5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 39/2020/GCNCP-VSD do VSD cấp ngày 02/06/2020
Tổng số chứng khoán đăng ký:,35.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,355.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ 
Nơi quản lý tại VSD:,Chi nhánh
