Keys,Values
Tên TCPH:,"
Công ty CP Phát triển Đô thị Công nghiệp số 2
"
Tên chứng khoán:,Cổ phiếu CTCP Phát triển Đô thị Công nghiệp số 2
Mã chứng khoán:,D2D
Mã ISIN:,VN000000D2D0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 029/2009/GCNCP-CNTTLK  do TTLKCK Việt Nam cấp ngày 19/06/2009, Số:029/2009/GCNCP -VSD-2 cấp thay đổi lần 2 ngày 24/12/2020"
Tổng số chứng khoán đăng ký:,30.304.758 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,303.047.580.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
