Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Thủy sản Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Thủy sản Hà Nội
Mã chứng khoán:,SPH
Mã ISIN:,VN000000SPH9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 22/2014/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 31/03/2014
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
