Keys,Values
Tên TCPH:,"
Công ty cổ phần Bia Hà Nội - Hải Dương
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần Bia Hà Nội - Hải Dương
Mã chứng khoán:,HAD
Mã ISIN:,VN000000HAD3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 66/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 07/10/2009
Tổng số chứng khoán đăng ký:,4.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,40.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
