Keys,Values
Tên TCPH:,"
Công ty cổ phần Công trình công cộng và Dịch vụ Du lịch Hải Phòng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình công cộng và Dịch vụ Du lịch Hải Phòng
Mã chứng khoán:,CDH
Mã ISIN:,VN000000CDH9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 52/2016/GCNCP-VSD do VSD cấp ngày 24/05/2016
Tổng số chứng khoán đăng ký:,2.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
