Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn Xây dựng Tổng hợp
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn Xây dựng Tổng hợp
Mã chứng khoán:,NAC
Mã ISIN:,VN000000NAC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 10/2011/GCNCP-VSD cấp lần đầu ngày 26/01/2011, số 10/2011/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 08/08/2018"
Tổng số chứng khoán đăng ký:,2.835.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,28.350.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
