Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí và Khoáng sản Hà Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ khí và Khoáng sản Hà Giang
Mã chứng khoán:,HGM
Mã ISIN:,VN000000HGM1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 99/2009/GCNCP-VSD do VSD cấp lần đầu ngày 04/12/2009, số 99/2009/GCNCP-VSD-2  cấp thay đổi lần 2 ngày 27/08/2013"
Tổng số chứng khoán đăng ký:,12.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,126.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
