Keys,Values
Tên TCPH:,"
Công ty cổ phần Công nghệ Viễn thông VI TE CO
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công nghệ Viễn thông VI TE CO
Mã chứng khoán:,VIE
Mã ISIN:,VN000000VIE5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 18/2011/GCNTP-VSD do VSD cấp lần đầu ngày 09/03/2011
Tổng số chứng khoán đăng ký:,2.061.244 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.612.440.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
