Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn TDI
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn TDI
Mã chứng khoán:,TDI
Mã ISIN:,VN000000TDI1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 55/2019/GCNCP-VSD do VSD cấp ngày 20/11/2019; Số: 55/2019/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 14/12/2021
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
