Keys,Values
Tên TCPH:,"
Công ty Cổ phần COMA 18
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần COMA 18
Mã chứng khoán:,CIG
Mã ISIN:,VN000000CIG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 45/2011/GCNCP-VSD do VSD cấp lần đầu ngày 29/06/2011, Số 45/2011/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 12/01/2017"
Tổng số chứng khoán đăng ký:,31.539.947 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,315.399.470.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
