Keys,Values
Tên TCPH:,"
Công ty Cổ phần Sữa Việt Nam
"
Tên chứng khoán:,Cổ phiếu công ty Cổ phần Sữa Việt Nam
Mã chứng khoán:,VNM
Mã ISIN:,VN000000VNM8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 10/2006/TTGDHCM-LK cấp lần đầu ngày 11/01/2006,  Số: 10/2006/GCNCP-VSD-15 do VSD cấp thay đổi lần 15 ngày 27/10/2020"
Tổng số chứng khoán đăng ký:,2.089.955.445 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.899.554.450.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
