Keys,Values
Tên TCPH:,"
Công ty cổ phần Thế giới số Trần Anh
"
Tên chứng khoán:,Cổ phiếu CTCP Thế giới số Trần Anh
Mã chứng khoán:,TAG
Mã ISIN:,VN000000TAG1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 122/2009/GCNCP-VSD do VSD cấp lần đầu ngày 31/12/2009. Số 122/2009/GCNCP-VSD-8 do VSD cấp thay đổi lần 8 ngày 05/07/2016
Tổng số chứng khoán đăng ký:,24.914.991 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,249.149.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
