Keys,Values
Tên TCPH:,"
Công ty cổ phần Viễn Liên
"
Tên chứng khoán:,Cổ phiếu CTCP Viễn Liên
Mã chứng khoán:,UNI
Mã ISIN:,VN000000UNI8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 04/2006/GCNCP-VSD do TTLKCK Việt Nam cấp ngày lần đầu ngày 23/06/2006, 04/2006/GCNCP-VSD- 5 thay đổi lần thứ 5 ngày 23/6/2016"
Tổng số chứng khoán đăng ký:,15.617.632 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,156.176.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
