Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp thoát nước Bình Phước
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp thoát nước Bình Phước
Mã chứng khoán:,BPW
Mã ISIN:,VN000000BPW4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 201/2017/GCNCP-VSD ngày 24/10/2017, số 201/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 04/03/2019"
Tổng số chứng khoán đăng ký:,13.203.858 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,132.038.580.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
