Keys,Values
Tên TCPH:,"
Công ty cổ phần Dây cáp điện Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dây cáp điện Việt Nam
Mã chứng khoán:,CAV
Mã ISIN:,VN000000CAV6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 67/2014/GCNCP-VSD do VSD cấp lần đầu ngày 15/09/2014, số 67/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 02/03/2017"
Tổng số chứng khoán đăng ký:,57.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,576.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
