Keys,Values
Tên TCPH:,"
Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu (Tên doanh nghiệp dự kiến sau khi cổ phần hóa:  Công ty cổ phần Công trình Đô thị Bạc Liêu)
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình Đô thị Bạc Liêu
Mã chứng khoán:,BLU
Mã ISIN:,VN000000BLU7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 08CPH/2019/GCNCP-VSD do VSD cấp ngày 12/02/2019
Tổng số chứng khoán đăng ký:,1.337.600 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,13.376.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
