Keys,Values
Tên TCPH:,"
Công ty cổ phần Bia Hà Nội – Thanh Hóa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bia Hà Nội – Thanh Hóa
Mã chứng khoán:,THB
Mã ISIN:,VN000000THB7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 46/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 13/10/2008, số 46/2008/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 19/12/2018"
Tổng số chứng khoán đăng ký:,11.424.570 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,114.245.700.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
