Keys,Values
Tên TCPH:,"
Tổng Công ty Thiết bị điện Đông Anh – Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Thiết bị điện Đông Anh – Công ty cổ phần
Mã chứng khoán:,TBD
Mã ISIN:,VN000000TBD6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 71/2014/GCNCP-VSD do VSD cấp ngày 02/10/2014, số 71/2014/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 21/10/2020"
Tổng số chứng khoán đăng ký:,32.486.392 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,324.863.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
