Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư Phát triển GAS Đô thị
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư Phát triển GAS Đô thị
Mã chứng khoán:,PCG
Mã ISIN:,VN000000PCG5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 302/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 22/12/2010
Tổng số chứng khoán đăng ký:,18.870.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,188.700.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
