Keys,Values
Tên TCPH:,"
Công ty cổ phần Tổng Công ty cổ phần Địa Ốc Sài Gòn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tổng Công ty cổ phần Địa Ốc Sài Gòn
Mã chứng khoán:,SGR
Mã ISIN:,VN000000SGR7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 52/2014/GCNCP-VSD do VSD cấp ngày 22/7/2014, Số 52/2014/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 08/12/2021"
Tổng số chứng khoán đăng ký:,60.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,600.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
