Keys,Values
Tên TCPH:,"
Công ty cổ phần Chế tạo máy điện Việt Nam-Hungari
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chế tạo máy điện Việt Nam-Hungari
Mã chứng khoán:,DVH
Mã ISIN:,VN000000DVH9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 180/2010/GCNCP-VSD do VSD cấp lần đầu ngày 23/07/2010, số 180/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 17/08/2017"
Tổng số chứng khoán đăng ký:,11.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,110.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
