Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư  Xây dựng và Phát triển Đô thị Thăng Long
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
Mã chứng khoán:,TLD
Mã ISIN:,VN000000TLD5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 192/2017/GCNCP-VSD do VSD cấp ngày 12/10/2017, Số: 192/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 11/02/2022"
Tổng số chứng khoán đăng ký:,42.752.586 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,427.525.860.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
