Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang
Mã chứng khoán:,HAW
Mã ISIN:,VN000000HAW3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 07/CPH/2020/GCNCP-VSD do VSD cấp ngày 18/06/2020; Số: 49/2021/GCNCP-VSD do VSD cấp lại ngày 02/12/2021
Tổng số chứng khoán đăng ký:,29.233.140 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,292.331.400.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
