Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí - Lắp máy Sông Đà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ khí - Lắp máy Sông Đà
Mã chứng khoán:,MEC
Mã ISIN:,VN000000MEC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 30/2006/GCNCP-TTLK do VSD cấp ngày 11/12/2006, Số 30/2006/GCNCP-VSD-6 cấp thay đổi lần thứ 6 ngày 11/10/2016"
Tổng số chứng khoán đăng ký:,8.353.620 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,83.536.200.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
