Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Phát triển Sài Gòn Co.op
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Phát triển Sài Gòn Co.op
Mã chứng khoán:,SID
Mã ISIN:,VN000000SID3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,91/2014/GCNCP-VSD do VSD cấp ngày 26/12/2014
Tổng số chứng khoán đăng ký:,100.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
