Keys,Values
Tên TCPH:,"
CTCP Vận tải Đa phương thức Duyên Hải
"
Tên chứng khoán:,Cổ phiếu CTCP Vận tải Đa phương thức Duyên Hải
Mã chứng khoán:,TCO
Mã ISIN:,VN000000TCO1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 47/2009/GCNCP-VSD do VSD cấp lần đầu ngày 01/09/2009, Số 47/2009/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 05/8/2015"
Tổng số chứng khoán đăng ký:,18.711.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,187.110.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
