Keys,Values
Tên TCPH:,"
Công ty cổ phần Hưng Thịnh Incons
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Hưng Thịnh Incons
Mã chứng khoán:,HTN
Mã ISIN:,VN000000HTN2
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số: 72/2018/GCNCP-VSD do VSD cấp ngày 28/08/2018, số 72/2018/GCNCP-VSD-2  cấp thay đổi lần 2 ngày20/11/2019"
Tổng số chứng khoán đăng ký:,89.116.411 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,891.164.110.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
