Keys,Values
Tên TCPH:,"
Công ty cổ phần Viglacera Tiên Sơn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Viglacera Tiên Sơn
Mã chứng khoán:,VIT
Mã ISIN:,VN000000VIT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 75/2009/GCNCP-VSD do VSD cấp lần đầu ngày 23/10/2009, số  75/2009/GCNCP-VSD -4 cấp thay đổi lần 4 ngày 10/08/2021"
Tổng số chứng khoán đăng ký:,50.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
