Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2
Mã chứng khoán:,ND2
Mã ISIN:,VN000000ND20
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 167/2010/GCNCP-VSD do VSD cấp lần đầu ngày 13/07/2010, Số 167/2010/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 24/01/2018"
Tổng số chứng khoán đăng ký:,49.993.960 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,499.939.600.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
