Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất - Xuất nhập khẩu dệt may
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất - Xuất nhập khẩu dệt may
Mã chứng khoán:,VTI
Mã ISIN:,VN000000VTI3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 217/2010/GCNCP-VSD do VSD cấp ngày 10/09/2010
Tổng số chứng khoán đăng ký:,3.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,35.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
