Keys,Values
Tên TCPH:,"
Công ty Cổ phần Sông Đà 9
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Sông Đà 9
Mã chứng khoán:,SD9
Mã ISIN:,VN000000SD90
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 42/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 15/12/2006, Số 42/2006/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 09/08/2016"
Tổng số chứng khoán đăng ký:,34.234.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,342.340.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
