Keys,Values
Tên TCPH:,"
Công ty cổ phần Lương thực Lương Yên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Lương thực Lương Yên
Mã chứng khoán:,LYF
Mã ISIN:,VN000000LYF0
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 4/CPH/2021/GCNCP-VSD do VSD cấp lần đầu ngày 06/05/2021; số 17/2022/GCNCP-VSD cấp lại ngày 17/03/2022
Tổng số chứng khoán đăng ký:,3.544.506 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,35.445.060.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
