Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Hóa chất Đức Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Hóa chất Đức Giang
Mã chứng khoán:,DGC
Mã ISIN:,VN000000DGC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 48/2014/GCNCP-VSD do VSD cấp lần đầu ngày 30/06/2014; số 48/2014/GCNCP-VSD-8 thay đổi lần 8 ngày 28/05/2021
Tổng số chứng khoán đăng ký:,171.080.556 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.710.805.560.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
