Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Thế giới Di động
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư Thế giới Di động
Mã chứng khoán:,MWG
Mã ISIN:,VN000000MWG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 07/2013/GCNCP-VSD do VSD cấp lần đầu ngày 08/5/2013, Số: 07/2013/GCNCP-VSD-19 cấp thay đổi lần 19 ngày 08/04/2022"
Tổng số chứng khoán đăng ký:,732.256.465 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,7.322.564.650.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
