Keys,Values
Tên TCPH:,"
Công ty cổ phần K.I.P Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần K.I.P Việt Nam
Mã chứng khoán:,KIP
Mã ISIN:,VN000000KIP4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 18/2016/GCNCP-VSD do VSD cấp lần đầu ngày 14/03/2016, Số: 18/2016/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 30/11/2018"
Tổng số chứng khoán đăng ký:,9.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,98.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
