Keys,Values
Tên TCPH:,"
Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt
Mã chứng khoán:,PDV
Mã ISIN:,VN000000PDV2
Loại chứng khoán:,Cổ phiếu phổ thông và cổ phiếu ưu đãi
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 69/2017/GCNCP-VSD do VSD cấp lần đầu ngày 29/03/2017, Số 69/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 13/05/2022"
Tổng số chứng khoán đăng ký:,31.109.986 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,311.099.860.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
