Keys,Values
Tên TCPH:,"
Công ty Cổ phần Tập đoàn Alpha Seven
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Tập đoàn Alpha Seven
Mã chứng khoán:,DL1
Mã ISIN:,VN000000DL14
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 27/2010/GCNCP-VSD do VSD cấp lần đầu ngày 28/01/2010 , số 27/2010/GCNCP-VSD-11 số cấp thay đổi lần 11 ngày 15/03/2022"
Tổng số chứng khoán đăng ký:,106.236.094 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.062.360.940.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
