Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất và Thương mại Tùng Khánh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất và Thương mại Tùng Khánh
Mã chứng khoán:,TKG
Mã ISIN:,VN000000TKG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 03/2021/GCNCP-VSD do VSD cấp ngày 06/1/2021; số 03/2021/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 18/05/2022
Tổng số chứng khoán đăng ký:,6.315.312 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,63.153.120.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
