Keys,Values
Tên TCPH:,"
Công ty Cổ phần Sametel
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Sametel
Mã chứng khoán:,SMT
Mã ISIN:,VN000000SMT1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 122/2010/GCNCP-VSD  do TTLKCK Việt Nam cấp lần đầu ngày 21/05/2010,Số: 122/2010/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 11/05/2018"
Tổng số chứng khoán đăng ký:,5.467.432 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,54.674.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
