Keys,Values
Tên TCPH:,"
Công ty cổ phần Hóa chất Đức Giang - Lào Cai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Hóa chất Đức Giang - Lào Cai
Mã chứng khoán:,DGL
Mã ISIN:,VN000000DGL2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 79/2015/GCNCP-VSD do VSD cấp ngày 15/09/2015, Số 79/2015/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 16/11/2017"
Tổng số chứng khoán đăng ký:,99.785.463 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,997.854.630.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
