Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp thoát nước số 1 Vĩnh Phúc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp thoát nước số 1 Vĩnh Phúc
Mã chứng khoán:,VPW
Mã ISIN:,VN000000VPW2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 161/2017/GCNCP-VSD do VSD cấp ngày 18/8/2017
Tổng số chứng khoán đăng ký:,11.168.676 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,111.686.760.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
