Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược phẩm TW 25
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dược phẩm TW 25
Mã chứng khoán:,UPH
Mã ISIN:,VN000000UPH5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 69/2015/GCNCP-VSD do VSD cấp ngày 14/08/2015, số 69/2015/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 21/09/2016"
Tổng số chứng khoán đăng ký:,13.294.641 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,132.946.410.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
