Keys,Values
Tên TCPH:,"
Công ty cổ phần Thực phẩm và Dịch vụ Tổng hợp
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thực phẩm và Dịch vụ Tổng hợp
Mã chứng khoán:,GFS
Mã ISIN:,VN000000GFS2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 18/2021/GCNCP-VSD do VSD cấp lần đầu ngày 20/04/2021
Tổng số chứng khoán đăng ký:,2.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,25.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
