Keys,Values
Tên TCPH:,"
CTCP Đầu tư và Phát triển Giáo dục Phương Nam
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và Phát triển Giáo dục Phương Nam
Mã chứng khoán:,SED
Mã ISIN:,VN000000SED2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 39/2009/GCNCP-TTLK do TTLKCK Việt Nam cấp ngày 07/08/2009, Số 39/2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 03/7/2015"
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
