Keys,Values
Tên TCPH:,"
CTCP Lương thực Thực phẩm Vĩnh Long
"
Tên chứng khoán:,Cổ phiếu CTCP Lương thực Thực phẩm Vĩnh Long
Mã chứng khoán:,VLF
Mã ISIN:,VN000000VLF6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 284/2010/GCNCP - VSD-1 do TTLKCK Việt Nam cấp lần đầu ngày 01/12/2010 và cấp thay đổi lần 1 ngày 09/11/2012
Tổng số chứng khoán đăng ký:,11.959.982 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,119.599.820.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
