Keys,Values
Tên TCPH:,"
Tổng Công ty cổ phần May Việt Tiến
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần May Việt Tiến
Mã chứng khoán:,VGG
Mã ISIN:,VN000000VGG4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 116/2015/GCNCP-VSD do VSD cấp ngày 27/11/2015, số 116/2015/GCNCP-VSD-2 cấp lại lần 2 ngày 03/032017"
Tổng số chứng khoán đăng ký:,44.100.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,441.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
