Keys,Values
Tên TCPH:,"
Công ty cổ phần Bất động sản Thế Kỷ
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bất động sản Thế Kỷ
Mã chứng khoán:,CRE
Mã ISIN:,VN000000CRE6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 64/2018/GCNCP-VSD do VSD cấp lần đầu ngày 03/08/2018, Số 64/2018/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 12/11/2021"
Tổng số chứng khoán đăng ký:,201.599.557 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.015.995.570.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
