Keys,Values
Tên TCPH:,"
Công ty Cổ phần Viettronics Tân Bình
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Viettronics Tân Bình
Mã chứng khoán:,VTB
Mã ISIN:,VN000000VTB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 90/2006/GCNCP-VSD-3 do TTLKCK Việt Nam cấp lần đầu ngày 22/12/2006 và cấp thay đổi lần 3 ngày 08/3/2012
Tổng số chứng khoán đăng ký:,11.982.050 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,119.820.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
