Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và Công trình đô thị Phúc Yên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Công trình đô thị Phúc Yên
Mã chứng khoán:,PYU
Mã ISIN:,VN000000PYU0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 113/2015/GCNCP-VSD do VSD cấp ngày 18/11/2015 
Tổng số chứng khoán đăng ký:,2.073.985 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.739.850.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
