Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Quảng Bình
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Quảng Bình
Mã chứng khoán:,QBS
Mã ISIN:,VN000000QBS0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 56/2014/GCNCP-VSD do VSD cấp lần đầu ngày 14/8/2014, Số 56/2014/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 14/02/2017"
Tổng số chứng khoán đăng ký:,69.329.928 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,693.299.280.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
