Keys,Values
Tên TCPH:,"
CTCP Cơ khí và xây dựng Bình Triệu
"
Tên chứng khoán:,Cổ phiếu CTCP Cơ khí và Xây dựng Bình Triệu
Mã chứng khoán:,BTC
Mã ISIN:,VN000000BTC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 39/GCN/TTGD-LK do TT Giao dịch chứng khoán Thành phố Hồ chí Minh  Việt Nam cấp ngày 16/01/2002, số  39/2010/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 21/12/2017"
Tổng số chứng khoán đăng ký:,30.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
